test_data,V2,mcat1,rating1,mcat2,rating2
65510270,   __label__Approved 0.999997 __label__Rejected 2.28746e-0,Approved,0.999997,Rejected,0
70843490,   __label__Rejected 1 __label__Approved 1.84223e-0,Rejected,1,Approved,0
33681488,   __label__Approved 1.00001 __label__Rejected 1e-0,Approved,1.00001,Rejected,0
63479008,   __label__Rejected 1.00001 __label__Approved 1.00124e-0,Rejected,1.00001,Approved,0
54782821,   __label__Approved 0.997424 __label__Rejected 0.0025961,Approved,0.997424,Rejected,0.0025961
56889450,   __label__Approved 0.999174 __label__Rejected 0.00084565,Approved,0.999174,Rejected,0.00084565
57961760,   __label__Approved 0.998101 __label__Rejected 0.001919,Approved,0.998101,Rejected,0.001919
75441881,   __label__Approved 0.989585 __label__Rejected 0.010434,Approved,0.989585,Rejected,0.010434
90667424,   __label__Rejected 0.996772 __label__Approved 0.0032482,Rejected,0.996772,Approved,0.0032482
10660500,   __label__Approved 1.00001 __label__Rejected 1.44107e-0,Approved,1.00001,Rejected,0
79506052,   __label__Approved 0.998647 __label__Rejected 0.0013734,Approved,0.998647,Rejected,0.0013734
67377474,   __label__Approved 0.999864 __label__Rejected 0.00015615,Approved,0.999864,Rejected,0.00015615
30977145,   __label__Approved 0.981709 __label__Rejected 0.018310,Approved,0.981709,Rejected,0.01831
50542844,   __label__Rejected 0.992744 __label__Approved 0.0072755,Rejected,0.992744,Approved,0.0072755
46784433,   __label__Approved 0.998996 __label__Rejected 0.0010238,Approved,0.998996,Rejected,0.0010238
13165518,   __label__Rejected 0.999445 __label__Approved 0.00057515,Rejected,0.999445,Approved,0.00057515
68390390,   __label__Rejected 1.00001 __label__Approved 1.00318e-0,Rejected,1.00001,Approved,0
29939439,   __label__Rejected 0.991262 __label__Approved 0.0087584,Rejected,0.991262,Approved,0.0087584
69198455,   __label__Rejected 0.968597 __label__Approved 0.031423,Rejected,0.968597,Approved,0.031423
64373312,   __label__Approved 0.986333 __label__Rejected 0.01368,Approved,0.986333,Rejected,0.01368
110098825,   __label__Rejected 1 __label__Approved 1.64384e-0,Rejected,1,Approved,0
69867776,   __label__Approved 0.862357 __label__Rejected 0.13766,Approved,0.862357,Rejected,0.13766
31368410,   __label__Approved 0.895574 __label__Rejected 0.10444,Approved,0.895574,Rejected,0.10444
33886626,   __label__Rejected 0.999911 __label__Approved 0.00010903,Rejected,0.999911,Approved,0.00010903
67874094,   __label__Approved 0.999918 __label__Rejected 0.00010179,Approved,0.999918,Rejected,0.00010179
54827856,   __label__Rejected 0.999894 __label__Approved 0.00012632,Rejected,0.999894,Approved,0.00012632
34853279,   __label__Rejected 1.00001 __label__Approved 1.18099e-0,Rejected,1.00001,Approved,0
67458844,   __label__Approved 0.995139 __label__Rejected 0.0048808,Approved,0.995139,Rejected,0.0048808
23314344,   __label__Rejected 1.00001 __label__Approved 1.0021e-0,Rejected,1.00001,Approved,0
35840065,   __label__Rejected 0.999833 __label__Approved 0.00018695,Rejected,0.999833,Approved,0.00018695
20713626,   __label__Rejected 0.996391 __label__Approved 0.0036288,Rejected,0.996391,Approved,0.0036288
49282168,   __label__Approved 0.986862 __label__Rejected 0.013158,Approved,0.986862,Rejected,0.013158
64387759,   __label__Rejected 0.986603 __label__Approved 0.013416,Rejected,0.986603,Approved,0.013416
70521553,   __label__Approved 1.00001 __label__Rejected 1.10729e-0,Approved,1.00001,Rejected,0
76346953,   __label__Rejected 1 __label__Approved 1.51692e-0,Rejected,1,Approved,0
99452075,   __label__Approved 0.999923 __label__Rejected 9.65459e-0,Approved,0.999923,Rejected,0
79395643,   __label__Approved 0.995913 __label__Rejected 0.0041070,Approved,0.995913,Rejected,0.004107
31131996,   __label__Approved 0.999869 __label__Rejected 0.00015054,Approved,0.999869,Rejected,0.00015054
57906551,   __label__Approved 1.00001 __label__Rejected 1e-0,Approved,1.00001,Rejected,0
10996488,   __label__Rejected 0.887083 __label__Approved 0.11293,Rejected,0.887083,Approved,0.11293
